id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
225,علی,hipotrip,پشتیبانی بسیار خوبی دارند قیمت هاشون که پایینه سرعت وب سایتم که عالی ممنونم ,5,,2018-08-26 06:01:58.144731,2018-08-26 06:01:58.144731,19783,2,t
226,MAJID GH,hipotrip,قیمتش نسبتا از جاهای دیگه پایین تر بود( تو بعضی موارد هم نه!) ولی چیزی که از بقیه جاها متمایزش میکرد صبر و حوصله ی پشتباناشون بود، منکه راضی بودم.,5,,2018-08-26 06:04:55.453276,2018-08-26 06:04:55.453276,253185,2,t
227,"",hipotrip,"",5,,2018-08-26 06:44:54.161682,2018-08-26 06:44:54.161682,253309,2,t
228,محمد,ghasedak,عالی,5,,2018-08-26 09:56:55.626429,2018-08-26 09:56:55.626429,253820,2,t
229,آرمین تیموری ,zagros,عالی بود عالی ,5,,2018-08-26 10:38:11.662839,2018-08-26 10:38:11.662839,241394,1,t
230,"",ghasedak,"",,,2018-08-26 16:01:01.427597,2018-08-26 16:01:01.427597,170288,2,t
231,نسترن ,hipotrip,من ساعت 2 شب بلیط اشتباهی گرفتم و تماس که گرفتم نه تنها جواب دادن بلکه بلیطم برام کنسل کردن مجدد تونستم اون پروازیو که میخوام بخرم.,5,,2018-08-27 06:49:58.513905,2018-08-27 06:49:58.513905,253185,2,t
232,محمد عباس پور,hipotrip,دمشون گرم خیلی گرم و صمیمی برخورد کردند با اینکه من خیلی عصبانی بودم و بد حرف زدم. پشیتبانی شون خوبه نسبتا,5,,2018-08-27 07:36:33.575734,2018-08-27 07:36:33.575734,247370,2,t
233,محمد نفیسی,safarme,افتضاحححححححححححححح بود همه قیمتاش الکی پایین بود میرفتی خرید کنی بالا تر بود,1,,2018-08-27 07:37:59.346491,2018-08-27 07:37:59.346491,247370,2,t
234,مهشید امامی,flightio,افتضاح بود بابا اصلا تلفن جواب نمیدن سرکار گذاشتن منو. هیچ کی پاسخگو کارم نبود,1,,2018-08-27 07:38:59.33918,2018-08-27 07:38:59.33918,247370,2,t
235,مهشید امامی,hipotrip,فقط پشتیبانی اش خوبه,4,,2018-08-27 07:40:30.485643,2018-08-27 07:40:30.485643,247370,2,t
236,"",zagros,افتضاح ، حتی به مدیر فرودگاه هم اعتراض کنی ، هیچ اثری نداره. هیچ کس پاسخگو نیست,,,2018-08-28 18:27:21.796466,2018-08-28 18:27:21.796466,265502,1,t
237,آرمین تیموری ,mahan,با سلام چرا دیگر هواپیمای بویینگ 747.300 نقره ای پرواز ندارد نکند زمینگیر شده است,5,,2018-08-31 15:46:53.593965,2018-08-31 15:46:53.593965,241394,1,t
238,آرمین تیموری ,zagros,بهترین شرکت هواپیمایی ایران است ,5,,2018-08-31 15:51:19.90364,2018-08-31 15:51:19.90364,241394,1,t
